# frame +z -z 
1292 273 316 
1293 273 316 
1294 274 316 
1295 275 316 
1296 275 316 
1297 275 316 
1298 278 316 
1299 279 316 
1300 280 316 
1301 280 316 
1302 280 316 
1303 282 316 
1304 282 316 
1305 282 316 
1306 282 316 
1307 282 316 
1308 282 316 
1309 282 316 
1310 283 316 
1311 283 317 
1312 283 317 
1313 283 317 
1314 283 317 
1315 283 317 
1316 283 317 
1317 284 317 
1318 284 317 
1319 284 317 
1320 284 317 
1321 284 317 
1322 284 318 
1323 284 318 
1324 284 318 
1325 284 318 
1326 284 318 
1327 284 318 
1328 284 318 
1329 285 318 
1330 286 318 
1331 286 318 
1332 287 319 
1333 287 319 
1334 287 319 
1335 287 319 
1336 287 319 
1337 287 320 
1338 287 322 
1339 287 322 
1340 287 322 
1341 287 323 
1342 288 323 
1343 288 323 
1344 288 323 
1345 288 323 
1346 289 323 
1347 289 323 
1348 289 324 
1349 289 325 
1350 289 325 
1351 289 325 
1352 289 325 
1353 289 325 
1354 289 325 
1355 289 327 
1356 289 327 
1357 289 327 
1358 289 327 
1359 289 327 
1360 289 327 
1361 289 327 
1362 290 328 
1363 290 328 
1364 290 328 
1365 290 328 
1366 290 328 
1367 291 328 
1368 291 328 
1369 291 328 
1370 292 330 
1371 292 330 
1372 292 330 
1373 292 330 
1374 292 331 
1375 292 331 
1376 292 331 
1377 292 331 
1378 292 331 
1379 292 331 
1380 292 332 
1381 293 332 
1382 293 332 
1383 293 332 
1384 293 332 
1385 293 333 
1386 293 334 
1387 293 334 
1388 293 334 
1389 293 334 
1390 293 334 
1391 295 334 
1392 296 334 
1393 297 334 
1394 297 335 
1395 298 335 
1396 298 335 
1397 298 335 
1398 298 335 
1399 298 335 
1400 298 335 
1401 298 335 
1402 298 336 
1403 298 338 
1404 298 338 
1405 298 340 
1406 298 342 
1407 298 342 
1408 298 344 
1409 298 345 
1410 298 346 
1411 298 346 
1412 298 346 
1413 298 346 
1414 298 346 
1415 298 346 
1416 298 346 
1417 298 346 
1418 298 346 
1419 298 347 
1420 298 347 
1421 300 348 
1422 300 348 
1423 300 350 
1424 300 350 
1425 300 352 
1426 300 352 
1427 300 352 
1428 300 353 
1429 300 353 
1430 300 353 
1431 300 353 
1432 301 353 
1433 301 353 
1434 301 353 
1435 301 353 
1436 301 353 
1437 302 353 
1438 302 353 
1439 302 353 
1440 303 353 
1441 303 353 
1442 303 353 
1443 303 353 
1444 304 353 
1445 305 353 
1446 305 354 
1447 305 354 
1448 305 354 
1449 305 354 
1450 305 355 
1451 305 355 
1452 306 355 
1453 307 355 
1454 308 356 
1455 308 356 
1456 308 357 
1457 308 357 
1458 308 357 
1459 308 357 
1460 308 358 
1461 308 359 
1462 309 359 
1463 310 361 
1464 310 361 
1465 310 362 
1466 311 362 
1467 311 362 
1468 311 362 
1469 311 362 
1470 311 363 
1471 311 364 
1472 312 364 
1473 312 364 
1474 312 364 
1475 312 364 
1476 312 364 
1477 312 364 
1478 312 364 
1479 312 364 
1480 312 364 
1481 312 364 
1482 313 364 
1483 313 364 
1484 313 364 
1485 313 364 
1486 313 364 
1487 313 364 
1488 313 364 
1489 313 364 
1490 313 364 
1491 313 364 
1492 313 364 
1493 313 364 
1494 313 364 
1495 314 364 
1496 314 364 
1497 315 364 
1498 316 364 
1499 317 364 
1500 318 364 
1501 318 364 
1502 318 364 
1503 318 365 
1504 318 366 
1505 318 367 
1506 318 367 
1507 318 368 
1508 319 368 
1509 319 368 
1510 319 370 
1511 319 370 
1512 319 370 
1513 319 370 
1514 319 370 
1515 319 370 
1516 319 370 
1517 319 370 
1518 319 370 
1519 320 370 
1520 320 370 
1521 320 370 
1522 320 370 
1523 320 370 
1524 320 370 
1525 320 370 
1526 320 370 
1527 320 370 
1528 320 370 
1529 320 370 
1530 320 370 
1531 320 370 
1532 320 370 
1533 320 370 
1534 320 370 
1535 320 370 
1536 320 370 
1537 320 370 
1538 320 370 
1539 320 371 
1540 320 371 
1541 320 371 
1542 320 371 
1543 322 371 
1544 322 371 
1545 322 371 
1546 322 372 
1547 323 372 
1548 323 373 
1549 323 374 
1550 323 374 
1551 323 374 
1552 323 375 
1553 323 375 
1554 323 375 
1555 323 375 
1556 323 375 
1557 323 376 
1558 323 376 
1559 324 377 
1560 324 377 
1561 324 378 
1562 325 380 
1563 326 382 
1564 326 382 
1565 327 382 
1566 327 382 
1567 327 382 
1568 327 382 
1569 328 382 
1570 329 382 
1571 329 382 
1572 330 382 
1573 330 383 
1574 330 385 
1575 330 385 
1576 330 385 
1577 330 385 
