# step Etot Epot T p 
1390000 -4223.3462 -5197.2798 309.4102 -62.2742 
1395000 -4224.5156 -5201.6456 310.4256 725.9952 
1400000 -4301.8039 -5210.1225 288.5648 -886.1333 
1405000 -4279.2333 -5181.8483 286.7529 -501.6336 
1410000 -4270.5334 -5233.4742 305.9179 -777.6383 
1415000 -4226.6366 -5185.4321 304.6009 -66.0611 
1420000 -4264.5721 -5212.9026 301.2763 -830.484 
1425000 -4242.7575 -5189.3772 300.7328 -547.3534 
1430000 -4289.3902 -5211.1159 292.8242 -612.3417 
1435000 -4272.4755 -5197.536 293.8836 -222.4024 
1440000 -4186.215 -5139.6895 302.9105 879.1129 
1445000 -4274.2771 -5202.288 294.8209 -144.9359 
1450000 -4325.7848 -5218.3717 283.567 -308.4431 
1455000 -4290.8107 -5227.5299 297.5875 -1105.4954 
1460000 -4291.7407 -5220.6837 295.117 -1012.602 
1465000 -4247.9875 -5225.6954 310.6092 55.7655 
1470000 -4265.4109 -5206.5226 298.9829 -73.3981 
1475000 -4280.9532 -5217.2622 297.4571 -94.5931 
1480000 -4328.3514 -5222.4385 284.0436 -97.2739 
1485000 -4235.2806 -5169.0519 296.6509 -617.1484 
1490000 -4240.8781 -5200.8332 304.9693 156.7401 
1495000 -4206.8219 -5186.6398 311.2795 -515.5555 
1500000 -4277.8859 -5211.0153 296.447 -554.6809 
1505000 -4268.6846 -5209.3362 298.8368 -1020.173 
1510000 -4261.3293 -5169.856 288.631 -697.4968 
1515000 -4278.6179 -5180.6939 286.5816 174.8392 
1520000 -4290.7444 -5247.3784 303.9142 -1045.3965 
1525000 -4246.9037 -5190.7285 299.8449 -1197.968 
1530000 -4258.7878 -5189.2555 295.6014 -799.8181 
1535000 -4276.2896 -5192.1834 290.9714 -276.5043 
1540000 -4218.608 -5161.2203 299.4597 -565.8463 
1545000 -4292.9553 -5196.3482 287.0 -166.1808 
1550000 -4275.2607 -5204.8238 295.314 -233.7386 
1555000 -4228.8154 -5213.4269 312.8024 114.5692 
1560000 -4270.4131 -5202.1245 295.9965 -424.059 
1565000 -4295.0416 -5239.2714 299.9735 -20.3472 
1570000 -4359.9031 -5279.6112 292.1832 -431.7078 
1575000 -4267.4194 -5195.7022 294.9073 -33.7538 
1580000 -4244.1135 -5169.4815 293.9813 -523.271 
1585000 -4298.6882 -5268.635 308.1436 81.5111 
1590000 -4300.0679 -5229.1246 295.1532 340.9616 
1595000 -4272.9305 -5185.1161 289.7934 -231.1764 
1600000 -4185.3685 -5169.2139 312.559 270.0828 
1605000 -4239.1041 -5172.8024 296.6277 -108.2123 
1610000 -4282.2626 -5193.256 289.4146 -849.6762 
1615000 -4214.1029 -5136.3466 292.9887 -1335.5686 
1620000 -4273.0665 -5208.1189 297.0579 -135.5197 
1625000 -4266.537 -5222.7022 303.7653 -493.702 
1630000 -4247.3849 -5186.7298 298.4216 95.005 
1635000 -4236.9204 -5181.4702 300.0752 -445.5064 
1640000 -4263.6195 -5225.0997 305.4538 -221.941 
1645000 -4240.1297 -5182.409 299.3539 -92.1873 
1650000 -4332.9413 -5267.5477 296.9162 -10.8193 
1655000 -4294.2903 -5195.1061 286.1812 -227.4539 
1660000 -4291.38 -5233.6189 299.341 -100.9486 
1665000 -4220.1382 -5209.644 314.3573 -689.5461 
1670000 -4297.9448 -5241.6098 299.7941 -220.02 
1675000 -4218.8015 -5194.7325 310.0447 -286.6089 
1680000 -4328.422 -5223.4435 284.3405 -496.811 
1685000 -4240.3143 -5207.7141 307.3344 546.0712 
1690000 -4149.8635 -5127.721 310.6567 -139.9063 
1695000 -4271.4601 -5182.4505 289.4137 -654.1208 
1700000 -4291.3286 -5234.0025 299.4792 -687.6935 
1705000 -4206.5318 -5163.7978 304.115 54.1739 
1710000 -4239.4463 -5193.7715 303.1807 -159.0489 
1715000 -4188.9424 -5182.9457 315.7861 -136.3883 
1720000 -4234.2834 -5161.6063 294.6023 -348.0468 
1725000 -4278.0982 -5217.5554 298.4573 100.5667 
1730000 -4324.1475 -5233.8476 289.0037 -474.009 
1735000 -4231.7219 -5172.6238 298.9163 -300.4724 
1740000 -4354.4261 -5244.0824 282.636 -214.7531 
1745000 -4287.8333 -5201.5347 290.2749 -461.0077 
1750000 -4313.9094 -5228.4771 290.5501 358.4597 
1755000 -4289.8428 -5255.3275 306.726 -90.4557 
1760000 -4218.7591 -5156.3744 297.8721 -599.3861 
1765000 -4333.0653 -5270.1306 297.6974 -267.6174 
1770000 -4272.8745 -5234.689 305.56 -62.8636 
1775000 -4252.5593 -5186.0344 296.5569 -260.3514 
1780000 -4308.4829 -5261.1433 302.6518 -69.1939 
1785000 -4241.3511 -5222.6517 311.7506 -766.557 
1790000 -4228.5815 -5197.8708 307.9347 97.0173 
1795000 -4267.9194 -5198.0005 295.4786 -534.2883 
1800000 -4286.9672 -5213.2201 294.2624 255.9757 
1805000 -4223.9747 -5172.9462 301.4799 -95.3413 
1810000 -4199.8844 -5191.1992 314.932 -314.7022 
1815000 -4333.5655 -5241.0263 288.2923 -1011.0567 
1820000 -4220.9194 -5185.5997 306.4704 -142.1687 
1825000 -4163.7016 -5139.4765 309.9951 -221.9699 
1830000 -4270.5253 -5226.3485 303.6566 60.6085 
1835000 -4274.6646 -5224.5595 301.7733 -651.7753 
1840000 -4233.807 -5168.0881 296.8129 -475.3413 
1845000 -4239.0534 -5196.9363 304.311 -659.5941 
1850000 -4279.3266 -5208.0173 295.0369 -298.2856 
1855000 -4309.2203 -5232.8062 293.4151 -331.6193 
1860000 -4310.6949 -5261.5097 302.0655 -526.0767 
1865000 -4258.7888 -5186.605 294.759 -309.1841 
1870000 -4187.5697 -5141.5213 303.062 -35.537 
1875000 -4221.8575 -5162.5577 298.8522 -311.5263 
1880000 -4253.4076 -5181.2231 294.7589 -447.4546 
1885000 -4200.8814 -5159.723 304.6156 70.1036 
1890000 -4326.6138 -5271.0978 300.0543 2.2038 
1895000 -4286.7918 -5212.3001 294.0259 -250.1184 
1900000 -4298.2433 -5257.6822 304.8053 -668.3047 
1905000 -4229.9185 -5216.3001 313.3648 -139.7484 
1910000 -4302.2522 -5259.502 304.1099 177.1318 
1915000 -4258.5274 -5237.854 311.1234 -19.5212 
1920000 -4278.9017 -5209.8907 295.767 -624.1813 
1925000 -4291.7855 -5221.9027 295.4901 -759.3183 
1930000 -4259.3676 -5216.9686 304.2214 265.6767 
1935000 -4250.7815 -5222.4323 308.6849 -419.588 
1940000 -4318.4568 -5248.3208 295.4096 -1033.224 
1945000 -4299.9248 -5228.3918 294.9658 -477.0532 
1950000 -4308.8312 -5233.8717 293.8773 -805.8299 
1955000 -4318.5238 -5248.2708 295.3725 -377.595 
1960000 -4319.0353 -5244.1508 293.9011 -35.5653 
1965000 -4219.0423 -5143.3008 293.6288 -432.5099 
1970000 -4231.6092 -5175.2903 299.7992 -99.844 
1975000 -4271.312 -5203.7979 296.2426 -517.8472 
1980000 -4279.309 -5207.6366 294.9215 -441.7038 
1985000 -4261.0366 -5230.5916 308.0191 103.5677 
1990000 -4285.3215 -5221.9437 297.5567 -242.2684 
1995000 -4306.6734 -5238.8614 296.148 -1245.7308 
2000000 -4251.1987 -5190.373 298.3674 -404.38 
2005000 -4224.5726 -5150.5464 294.1738 -397.3573 
2010000 -4303.9551 -5260.8389 303.9936 -320.563 
2015000 -4228.6788 -5182.8921 303.1452 -319.7598 
2020000 -4276.8611 -5230.5411 302.9757 -556.6509 
2025000 -4258.0343 -5182.7906 293.7869 -447.5506 
2030000 -4275.1615 -5203.5169 294.9304 445.6617 
2035000 -4224.0085 -5202.6678 310.9115 -85.2277 
2040000 -4204.9022 -5165.7916 305.2661 -251.8511 
2045000 -4227.0667 -5187.1748 305.0179 -312.8581 
2050000 -4222.1217 -5156.608 296.8781 749.8719 
2055000 -4350.5826 -5277.8783 294.5937 -354.5055 
2060000 -4274.4512 -5210.8065 297.4719 -22.9591 
2065000 -4165.8894 -5156.3763 314.669 -272.6503 
2070000 -4227.964 -5187.2969 304.7717 -564.8459 
2075000 -4269.5084 -5207.4608 297.9793 -1031.9506 
2080000 -4191.8902 -5114.6498 293.1526 222.8136 
2085000 -4227.4073 -5189.3374 305.5968 725.6452 
2090000 -4291.4299 -5224.9366 296.5669 23.3801 
2095000 -4269.5177 -5219.7872 301.8923 -247.5332 
2100000 -4316.7182 -5214.6734 285.2725 -680.6551 
